Câu gốc,Câu chuẩn hóa
"sđt tk shop bữa m cho t gọi ko đc thuê bao r","số điện thoại thằng shop bữa mày cho tao gọi không được thuê bao rồi"
"yt ko cs mạng lướt chán phèo t đi ngủ m nngon","YouTube không có mạng lướt chán phèo tao đi ngủ mày ngủ ngon"
"ytb tk kia bị sập kênh do vi phạm r ae cs bít ko","YouTube thằng kia bị sập kênh do vi phạm rồi anh em có biết không"
"cmt stt bả lẹ m thả thính coi dính ko bk đâu đc","bình luận trạng thái bạn ấy lẹ mày thả thính coi dính không biết đâu được"
"bl ngta lói j t ko qtam m ơi mệt đầu vs cđm","bình luận người ta nói gì tao không quan tâm mày ơi mệt đầu với cộng đồng mạng"
"acc fb t bị khóa 30 ngày cđm chơi ác qá kíu t","tài khoản facebook tao bị khóa 30 ngày cộng đồng mạng chơi ác quá cứu tao"
"bb hnay ăn đc nửa bát bột ngoan lém cj khỏi lo","em bé hôm nay ăn được nửa bát bột ngoan lắm chị khỏi lo"
"cmsn a trai t nay mua bánh kem lmj ko ae hiến kế","chúc mừng sinh nhật anh trai tao nay mua bánh kem làm gì không anh em hiến kế"
"cmnm e chúc thầy cô gđ mạnh khỏe nha zui vẻ nha","chúc mừng năm mới em chúc thầy cô gia đình mạnh khỏe nha vui vẻ nha"
"SK ko ổn t đi BV chụp x quang r ae nằm nghỉ tí","sức khỏe không ổn tao đi bệnh viện chụp x quang rồi anh em nằm nghỉ tí"
"sk mxh cnay có lmj zui ko ae chỉ t vs t rảnh","sự kiện mạng xã hội chiều nay có làm gì vui không anh em chỉ tao với tao rảnh"
"BV Răng Hàm Mặt đg giảm giá m nhổ răng ko t rủ","bệnh viện Răng Hàm Mặt đang giảm giá mày nhổ răng không tao rủ"
"bcs có bán ở trạm xá ko m nhỉ t lười đi xa tiệm thuốc","bao cao su có bán ở trạm xá không mày nhỉ tao lười đi xa tiệm thuốc"
"hnay trời lạnh m nhớ mặc áo ấm nha","hôm nay trời lạnh mày nhớ mặc áo ấm nha"
"a mới sắm đth mới hả chụp hình mượt ghê","anh mới sắm điện thoại mới hả chụp hình mượt ghê"
"klq nha nay đi đường thấy tai nạn sợ qá","không liên quan nha nay đi đường thấy tai nạn sợ quá"
"cđm dạo này rảnh rỗi hay đi khui fact ghê","cộng đồng mạng dạo này rảnh rỗi hay đi khui sự thật ghê"
"tks a đã giúp t bưng đồ hwa nha","cảm ơn anh đã giúp tao bưng đồ hôm qua nha"
"m bít tk đó cbi lấy vk chx bả m lói t nghe","mày biết thằng đó chuẩn bị lấy vợ chưa bạn ấy mày nói tao nghe"
"bả đg bùn ngủ mà m cứ gọi quài z","bạn ấy đang buồn ngủ mà mày cứ gọi quài vậy"
"ổng đi làm cv cả ngày mệt r để ổng nghỉ","ông ấy đi làm công việc cả ngày mệt rồi để ông ấy nghỉ"
"mxh hnay ngập tràn tin drama ae hít mệt mỏi","mạng xã hội hôm nay ngập tràn tin drama anh em hít mệt mỏi"
"bít j chx bả đg hẹn hò vs nym đó","biết gì chưa bạn ấy đang hẹn hò với người yêu mới đó"
"t ms nộp báo cáo ròi m lmj thì làm lẹ đi","tao mới nộp báo cáo rồi mày làm gì thì làm lẹ đi"
"cr rep tn t ròi ae ơi zui qtqd lun","người mình thích trả lời tin nhắn tao rồi anh em ơi vui quá trời quá đất luôn"
"t tính cnay nghỉ học đi cf ae đi ko","tao tính chiều nay nghỉ học đi cf anh em đi không"
"nyc dạo này hay lướt xem story t ghê á","người yêu cũ dạo này hay lướt xem story tao ghê á"
"zui qá đi thi pass ròi hnay t đãi ce nha","vui quá đi thi pass rồi hôm nay tao đãi chị em nha"
"cj cs mua đồ ăn vặt chx e qua ăn chực vs","chị có mua đồ ăn vặt chưa em qua ăn chực với"
"thg em t nó lười chảy thây t sai ko đc","thằng em tao nó lười chảy thây tao sai không được"
"m bùn ròi khok sưng mắt cug ko giải quyết đc j","mày buồn rồi khóc sưng mắt cũng không giải quyết được gì"
"nngon nha m mai còn đi thực tập sớm nx","ngủ ngon nha mày mai còn đi thực tập sớm nữa"
"cno đg bàn tán cái zụ j ở công ty á m","chúng nó đang bàn tán cái vụ gì ở công ty á mày"
"ngta lói j thì kệ đi m bận tâm lmj","người ta nói gì thì kệ đi mày bận tâm làm gì"
"bả mặc cái váy đỏ bô đô nhìn slay xỉu","bạn ấy mặc cái váy đỏ bô đô nhìn xuất sắc xỉu"
"ổng đzai thì có đzai nma nết kì lém t chê","ông ấy đẹp trai thì có đẹp trai nhưng mà nết kì lắm tao chê"
"ní đg ở đâu z rảnh hông qa t chơi xíu","bạn đang ở đâu vậy rảnh hông qua tao chơi xíu"
"otp tui nay lướt qua nhau mà tim bay tung tóe","ghép cặp tui nay lướt qua nhau mà tim bay tung tóe"
"real hay ko thì chờ coi show ms bít đc m ơi","thật hay không thì chờ coi show mới biết được mày ơi"
"s m lại unf tk đó z bộ cs xích mích hả","sao mày lại hủy kết bạn thằng đó vậy bộ có xích mích hả"
"same gu âm nhạc vs t qá bữa nào ae mik đi quẩy","giống gu âm nhạc với tao quá bữa nào anh em mình đi quẩy"
"scam đầy rẫy lướt FB nhớ check kĩ in4 nha mn","lừa gạt đầy rẫy lướt Facebook nhớ check kĩ thông tin nha mọi người"
"slay thật sự t bít ổng đg lmj r ae ạ","xuất sắc thật sự tao biết ông ấy đang làm gì rồi anh em ạ"
"stt xàm z mà cđm cũng bu vô cmt qá tr","trạng thái xàm vậy mà cộng đồng mạng cũng bu vô bình luận quá trời"
"tag tk bn thân vào coi clip tấu hài lẹ đi m","gắn thẻ thằng bạn thân vào coi clip tấu hài lẹ đi mày"
"tcn của tk này chống vắng đéo cs stt nào","trang cá nhân của thằng này chống vắng không có trạng thái nào"
"tk nyc mặt dày ms ib xl mượn tiền t ae ạ","thằng người yêu cũ mặt dày mới nhắn tin Zalo mượn tiền tao anh em ạ"
"thg Hưng nay đi làm chx m cj hỏi kìa","thằng Hưng nay đi làm chưa mày chị hỏi kìa"
"toxic lém ae né ba cái drama mạng này ra cho nhẹ đầu","tiêu cực lắm anh em né ba cái drama mạng này ra cho nhẹ đầu"
"tus này đg lọt xh kìa bả nổi tiếng r","bài viết này đang lọt xu hướng kìa bạn ấy nổi tiếng rồi"
"up ảnh dìm tk bạn thân lúc đg ngủ say ae xem zui k","lên ảnh dìm thằng bạn thân lúc đang ngủ say anh em xem vui không"
"vv nha cno t dọn đồ đi trc r","vui vẻ nha chúng nó tao dọn đồ đi trước rồi"
"xh bữa nay chán ghê t lướt hoài ko chán","xu hướng bữa nay chán ghê tao lướt hoài không chán"
"bn iu đg lmj đó rảnh cf chém gió xíu ko","bạn yêu đang làm gì đó rảnh cf chém gió xíu không"
"mik đg cbi nấu cơm m mún qua ăn chung ko","mình đang chuẩn bị nấu cơm mày muốn qua ăn chung không"
"mk lỡ tay xóa tn r h sao m","mình lỡ tay xóa tin nhắn rồi giờ sao mày"
"bh ms tan làm đói bụng qá tr qá đất r m","bây giờ mới tan làm đói bụng quá trời quá đất rồi mày"
"bây h cbi đồ đi 8h ce mình gặp nhau ở rạp chiếu phim","bây giờ chuẩn bị đồ đi 8h chị em mình gặp nhau ở rạp chiếu phim"
"h t đg kẹt xe qá m ráng đợi t xíu nha bả","giờ tao đang kẹt xe quá mày ráng đợi tao xíu nha bạn ấy"
"ch nộp bài nx nãy h t mải lướt yt qá","chưa nộp bài nữa nãy giờ tao mải lướt YouTube quá"
"chx thấy tk shipper giao hàng nx t đg đói lả","chưa thấy thằng shipper giao hàng nữa tao đang đói lả"
"mh bay z m t cbi kêu taxi r nè","mấy giờ bay vậy mày tao chuẩn bị kêu taxi rồi này"
"bt lmj h rớt môn thì đóng tiền học lại th ae","biết làm gì giờ rớt môn thì đóng tiền học lại thôi anh em"
"bít sao h đg kẹt tiền ko đi đu idol đc r m","biết sao giờ đang kẹt tiền không đi đu idol được rồi mày"
"bik z hwa t đéo thèm nghe ổng lói nx","biết vậy hôm qua tao không thèm nghe ông ấy nói nữa"
"thik cái áo này qá mà hết size r t bùn ghê","thích cái áo này quá mà hết size rồi tao buồn ghê"
"bthg thứ 7 t hay ở nhà lướt FB chán òm","bình thường thứ 7 tao hay ở nhà lướt Facebook chán òm"
"bth nay thấy ổng trầm ngâm qá đg bùn hả ae","bình thường nay thấy ông ấy trầm ngâm quá đang buồn hả anh em"
"bình thg cno hay đi cf quán nào z m chỉ t vs","bình thường chúng nó hay đi cf quán nào vậy mày chỉ tao với"
"đc sếp thưởng hnay tui dắt ce đi ăn lẩu","được sếp thưởng hôm nay tui dắt chị em đi ăn lẩu"
"dc bả mua cho ly trà sữa t bớt bùn hẳn lun","được bạn ấy mua cho ly trà sữa tao bớt buồn hẳn luôn"
"vs t thì ntn cx đc miễn m zui là đc r","với tao thì như thế nào cũng được miễn mày vui là được rồi"
"ừm m cứ để trên bàn lát t ra lấy nha b","ừm mày cứ để trên bàn lát tao ra lấy nha bạn"
"uk t onl r m kể típ cái zụ hwa nghe coi","ừ tao trực tuyến rồi mày kể tiếp cái vụ hôm qua nghe coi"
"um nngon nha tớ cx cbi tắt đèn ngủ đây","ừm ngủ ngon nha tớ cũng chuẩn bị tắt đèn ngủ đây"
"acp kb xl t đi ms rep m đó bả","đồng ý kết bạn Zalo tao đi mới trả lời mày đó bạn ấy"
"r chừng nào mính chốt ngày đi đà lạt z ae","rồi chừng nào mình chốt ngày đi đà lạt vậy anh em"
"j z tk đó đg giỡn hả lmj có ch đó ae","gì vậy thằng đó đang giỡn hả làm gì có chuyện đó anh em"
"giề m ms lói j t nghe hông rõ mạng lag qá","gì mày mới nói gì tao nghe hông rõ mạng lag quá"
"trl tn nhanh lên cj đg đợi chốt đơn nè m","trả lời tin nhắn nhanh lên chị đang đợi chốt đơn này mày"
"rep lẹ nha m đang cần gấp tài liệu ôn thi r","trả lời lẹ nha mày đang cần gấp tài liệu ôn thi rồi"
"off máy xíu đi m xem đth hoài coi chừng cận","ngoại tuyến máy xíu đi mày xem điện thoại hoài coi chừng cận"
"avt m mới để hình m vs nyc hả khai mau","ảnh đại diện mày mới để hình mày với người yêu cũ hả khai mau"
"lmj có vụ đó cđm tung tin fake ko m ơi","làm gì có vụ đó cộng đồng mạng tung tin giả mạo không mày ơi"
"lm bài tốt ko t thấy m làm lẹ ghê á","làm bài tốt không tao thấy mày làm lẹ ghê á"
"lms xin nghỉ ốm z cj lói e nghe vs","làm sao xin nghỉ ốm vậy chị nói em nghe với"
"ntn r gđ a dạo này bthg chx a","như thế nào rồi gia đình anh dạo này bình thường chưa anh"
"nnao giải qyết đc m lói lun đi ae đg mệt r","như nào giải quyết được mày nói luôn đi anh em đang mệt rồi"
"nnay thì t cx bó tay r m tự lo nha bro","như này thì tao cũng bó tay rồi mày tự lo nha bạn"
"đtr mà đg vướng vào phốt scam kìa m","đẹp trai mà đang vướng vào phốt lừa gạt kìa mày"
"đtrai qá shop ơi lấy cho e áo này nha shop","đẹp trai quá shop ơi lấy cho em áo này nha shop"
"dz thế này m iu bả là qá chuẩn r ko cãi đc","đẹp trai thế này mày yêu bạn ấy là quá chuẩn rồi không cãi được"
"đzai lém ae hqua t mới chạm mặt ổng lun","đẹp trai lắm anh em hôm qua tao mới chạm mặt ông ấy luôn"
"đz ngời ngời thế kia bảo sao mxh ko rần rần","đẹp trai ngời ngời thế kia bảo sao mạng xã hội không rần rần"
"depzai nhưng hơi vô duyên m ạ t thấy cno bảo z","đẹp trai nhưng hơi vô duyên mày ạ tao thấy chúng nó bảo vậy"
"iu ck nhìu nhìu hwa m rủ t đi ăn là zui r","yêu chồng nhiều nhiều hôm qua mày rủ tao đi ăn là vui rồi"
"eo ôi bả xạo chó lém đk m t bít mà","yêu ôi bạn ấy xạo chó lắm đúng không mày tao biết mà"
"cr m đg onl xl kìa zô thả thính lẹ đi bro","người mình thích mày đang trực tuyến Zalo kìa vô thả thính lẹ đi bạn"
"z tối nay mìn đi ăn bún chả nha m thèm qá","vậy tối nay mình đi ăn bún chả nha mày thèm quá"
"zạy là chốt kèo cf cnay r nha mn","vậy là chốt kèo cf chiều nay rồi nha mọi người"
"v thui t mua màu trắng cho dễ mặc qánh","vậy thôi tao mua màu trắng cho dễ mặc qánh"
"dậy thì mai m đi thi tốt nha ráng đạt điểm cao nha m","vậy thì mai mày đi thi tốt nha ráng đạt điểm cao nha mày"
"dth dã man shop còn đôi giày này ko tư vấn dùm e","dễ thương dã man shop còn đôi giày này không tư vấn dùm em"
"dthuongg z m t cx mún có 1 bé mèo giốg z","dễ thương vậy mày tao cũng muốn có 1 bé mèo giống vậy"
"đth m hãng gì mà pin trâu z xài cả ngày chx hết","điện thoại mày hãng gì mà pin trâu vậy xài cả ngày chưa hết"
"cj ơi lấy e hai vé xem phim nha cj dth","chị ơi lấy em hai vé xem phim nha chị dễ thương"
"ae nhớ lịch tối nay ra sân nhậu qán cũ nha","anh em nhớ lịch tối nay ra sân nhậu quán cũ nha"
"típ đĩa cơm sườn này nóng hổi ngon nhức nách qá cno","tiếp đĩa cơm sườn này nóng hổi ngon nhức nách quá chúng nó"
"nx đi thầy kể chuyện mxh cuốn qá e chx buồn ngủ","nữa đi thầy kể chuyện mạng xã hội cuốn quá em chưa buồn ngủ"
"th m đừng khok nữa hnay t dẫn m đi sắm đồ lmj bùn","thôi mày đừng khóc nữa hôm nay tao dẫn mày đi sắm đồ làm gì buồn"
"thui ko ns nữa t đg bận sml m ơi nngon nha","thôi không nói nữa tao đang bận sấp mặt mày ơi ngủ ngon nha"
"thoi kệ ổng đi hơi đâu mà qtam tk scam đó cđm lói đr","thôi kệ ông ấy đi hơi đâu mà quan tâm thằng lừa gạt đó cộng đồng mạng nói đúng rồi"
"thoai e xỉu đây đói qá r m lmj lẹ r chở e đi ăn ms","thôi em xỉu đây đói quá rồi mày làm gì lẹ rồi chở em đi ăn mới"
